YEAR ;SEMESTRE;DEP_NAC;COD_DEP_NAC;CIU_NAC;COD_CIU_NAC;LON_CIU_NAC;LAT_CIU_NAC;EDAD;SEXO;ESTRATO;DISCAPACIDAD;TIPO_DISC;MOD_INS;PTOTAL;ADMITIDO;ADM_SEDE_NOMBRE;AREAC_SNIES;NIVEL
2019;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;23;Mujeres;3;No;;Regular;3,11;Sí;Bogotá;Ciencias sociales y humanas;Especialización
2012;1;CALDAS;17;MANIZALES;17001;-75,49041506;5,057050564;17,3;Mujeres;3;No;;Regular;465,6333;No;;;Pregrado
2014;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;18,86;Mujeres;2;No;;Regular;385,4138;No;;;Pregrado
2012;1;NARIÑO;52;IPIALES;52356;-77,64609566;0,829031719;18,7;Hombres;2;No;;Regular;491,0401;No;;;Pregrado
2019;2;BOLÍVAR;13;CARTAGENA DE INDIAS;91263;-75,50122922;10,39881648;25;Hombres;3;No;;Regular;635,8051;Sí;Bogotá;Matemáticas y ciencias naturales;Pregrado
2020;2;ANTIOQUIA;5;MEDELLÍN;5001;-75,57705563;6,24894081;21;Hombres;2;No;;Especial;567,6924;No;;;Pregrado
2008;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;30;Mujeres;3;No;;Regular;;Sí;Bogotá;Ciencias sociales y humanas;Especialización
2012;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;19,07;Mujeres;2;No;;Regular;486,845;No;;;Pregrado
2011;1;BOGOTÁ, D. C.;11;Bogotá D.C.;11001;-74,11391872;4,62457505;17,51;Mujeres;3;No;;Regular;369,3388;No;;;Pregrado
2018;1;NARIÑO;52;EL CHARCO;52250;-78,10832813;2,475877278;20,03;Hombres;1;No;;Especial;458,39;Sí;Tumaco;Ingeniería, arquitectura, urbanismo y afines;Pregrado
2021;1;;;;;;;23;Hombres;3;No;;Regular;438,5035;No;;;Pregrado
2014;1;HUILA;41;PITALITO;41551;-76,04040041;1,854145051;15,62;Hombres;2;No;;Regular;386,0956;No;;;Pregrado
2012;1;TOLIMA;73;SALDAÑA;73671;-75,01663674;3,926797132;26;Hombres;3;No;;Regular;1,28;No;;Ciencias de la salud;Especialidades médicas
2008;2;CESAR;20;CHIRIGUANÁ;20178;-73,60091321;9,36137942;27;Hombres;3;No;;Regular;;No;;Ciencias de la salud;Maestría
2021;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16;Hombres;2;No;;Regular;619,3118;No;;;Pregrado
2014;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;20,15;Mujeres;2;No;;Regular;502,683;No;;;Pregrado
2020;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;19;Mujeres;2;No;;Regular;427,6924;No;;;Pregrado
2012;2;CALDAS;17;MANIZALES;17001;-75,49041506;5,057050564;21,44;Hombres;2;No;;Regular;456,1337;No;;;Pregrado
2013;2;CAUCA;19;POPAYÁN;19001;-76,62478764;2,448239605;16,54;Hombres;2;No;;Regular;585,3508;No;;;Pregrado
2014;1;CASANARE;85;TAURAMENA;85410;-72,74773611;5,013122789;16,77;Mujeres;3;No;;Especial;567,6674;No;;;Pregrado
2015;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,84;Hombres;3;No;;Regular;497,2235;No;;;Pregrado
2012;2;BOYACÁ;15;SOGAMOSO;15759;-72,9232369;5,724862053;17,28;Mujeres;2;No;;Regular;424,662;No;;;Pregrado
2016;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,13;Mujeres;3;No;;Regular;533,7849;No;;;Pregrado
2017;1;META;50;VILLAVICENCIO;50001;-73,6268779;4,12295758;18,34;Mujeres;2;No;;Especial;314,4415;No;;;Pregrado
2008;2;CALDAS;17;LA DORADA;17380;-74,67445215;5,443899994;29;Mujeres;3;No;;Regular;4,33;Sí;Bogotá;Ingeniería, arquitectura, urbanismo y afines;Maestría
2013;1;ANTIOQUIA;5;MEDELLÍN;5001;-75,57705563;6,24894081;20,31;Hombres;3;No;;Regular;478,43;No;;;Pregrado
2012;1;BOYACÁ;15;CHIQUINQUIRÁ;15176;-73,81871071;5,614851057;16,49;Mujeres;2;No;;Regular;458,9616;No;;;Pregrado
2021;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16;Hombres;3;No;;Regular;330,6289;No;;;Pregrado
2010;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,55;Mujeres;2;No;;Regular;350,44;No;;;Pregrado
2016;1;SUCRE;70;SINCELEJO;70001;-75,38521942;9,300157626;24;Mujeres;4;No;;Regular;1,48;No;;Ciencias de la salud;Especialidades médicas
2016;2;NARIÑO;52;LA UNIÓN;52399;-77,12838567;1,592477177;21,12;Hombres;1;No;;Regular;498,4117;No;;;Pregrado
2011;1;TOLIMA;73;Ibagué;73001;-75,19635015;4,439630726;17,79;Mujeres;3;No;;Regular;442,9895;No;;;Pregrado
2008;2;CALDAS;17;MANIZALES;17001;-75,49041506;5,057050564;17,74;Mujeres;2;No;;Regular;490,37;No;;;Pregrado
2010;2;CALDAS;17;LA DORADA;17380;-74,67445215;5,443899994;15,84;Mujeres;2;No;;Regular;;No;;;Pregrado
2014;1;CALDAS;17;MANIZALES;17001;-75,49041506;5,057050564;18,14;Mujeres;3;No;;Regular;483,4269;No;;;Pregrado
2013;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;18,65;Hombres;3;No;;Regular;642,13;Sí;Bogotá;Matemáticas y ciencias naturales;Pregrado
2018;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;18,4;Hombres;3;No;;Regular;471,0125;No;;;Pregrado
2011;1;;;;;;;17,43;Hombres;2;No;;Regular;581,5964;Sí;Medellín;Ciencias sociales y humanas;Pregrado
2014;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,4;Hombres;4;No;;Regular;661,9969;Sí;Bogotá;Ciencias sociales y humanas;Pregrado
2018;1;NORTE DE SANTANDER;54;CÚCUTA;54001;-72,50559097;7,905267117;26;Hombres;3;No;;Regular;1,71;No;;Ciencias de la salud;Especialidades médicas
2008;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;19,14;Mujeres;2;No;;Regular;337,4;No;;;Pregrado
2018;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,6;Mujeres;3;No;;Especial;435,6371;No;;;Pregrado
2011;1;BOGOTÁ, D. C.;11;Bogotá D.C.;11001;-74,11391872;4,62457505;16,94;Hombres;3;No;;Regular;623,1064;No;;;Pregrado
2012;2;CAUCA;19;SANTANDER DE QUILICHAO;19698;-76,48534589;3,011287968;26;Hombres;2;No;;Regular;4,05;Sí;Palmira;Matemáticas y ciencias naturales;Maestría
2017;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;15,64;Hombres;3;No;;Regular;572,4519;No;;;Pregrado
2019;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;27;Mujeres;2;No;;Regular;1,49;No;;Ciencias de la salud;Maestría
2015;2;CUNDINAMARCA;25;TENJO;25799;-74,14345182;4,871715773;23,41;Hombres;2;No;;Regular;580,7662;No;;;Pregrado
2019;1;NARIÑO;52;BARBACOAS;52079;-78,1382612;1,673571647;19;Mujeres;1;No;;Especial;;No;;;Pregrado
2019;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17;Hombres;3;No;;Regular;537,1989;No;;;Pregrado
2020;1;NORTE DE SANTANDER;54;SAN CALIXTO;54670;-73,20669102;8,398315284;35;Hombres;2;No;;Regular;1;No;;Ciencias de la salud;Especialidades médicas
2017;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;24;Hombres;3;No;;Regular;;No;;Ciencias sociales y humanas;Especialización
2016;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,15;Hombres;2;No;;Regular;403,3758;No;;;Pregrado
2016;1;SANTANDER;68;PIEDECUESTA;68547;-73,05430826;6,995474842;17,18;Mujeres;3;No;;Regular;517,8784;No;;;Pregrado
2016;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;23,03;Hombres;3;No;;Regular;502,8582;No;;;Pregrado
2015;2;NARIÑO;52;PASTO;52001;-77,27826745;1,212808597;17,88;Mujeres;3;No;;Regular;606,8746;No;;;Pregrado
2013;2;CALDAS;17;MANIZALES;17001;-75,49041506;5,057050564;18,01;Mujeres;3;No;;Regular;;No;;;Pregrado
2013;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;18,19;Hombres;3;No;;Regular;423,5926;No;;;Pregrado
2020;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16;Hombres;3;No;;Regular;;No;;;Pregrado
2018;1;PUTUMAYO;86;PUERTO ASÍS;86568;-76,49783667;0,504218751;17,77;Mujeres;1;No;;Especial;548,4281;Sí;Amazonía;Ciencias de la salud;Pregrado
2018;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;18;Mujeres;3;No;;Regular;480,7094;No;;;Pregrado
2008;1;;;;;;;17,16;Mujeres;3;No;;Regular;;No;;;Pregrado
2018;1;NARIÑO;52;CUMBAL;52227;-77,79124207;0,906450846;22,11;Mujeres;1;No;;Especial;463,3114;Sí;Medellín;Ciencias sociales y humanas;Pregrado
2012;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,42;Mujeres;3;No;;Regular;475,4435;No;;;Pregrado
2008;2;NARIÑO;52;GUACHUCAL;52317;-77,73165563;0,960368496;21,32;Mujeres;;No;;Especial;327,5;No;;;Pregrado
2011;1;BOGOTÁ, D. C.;11;Bogotá D.C.;11001;-74,11391872;4,62457505;17,61;Hombres;3;No;;Regular;497,0976;No;;;Pregrado
2017;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;18,35;Mujeres;3;No;;Regular;565,82;No;;;Pregrado
2009;2;CUNDINAMARCA;25;RICAURTE;25612;-74,77392082;4,2840903;22,91;Hombres;3;No;;Regular;632,85;No;;;Pregrado
2012;2;CALDAS;17;MANIZALES;17001;-75,49041506;5,057050564;31,49;Hombres;3;No;;Regular;627,6536;Sí;Manizales;Matemáticas y ciencias naturales;Pregrado
2016;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;21,12;Mujeres;3;No;;Regular;678,5906;Sí;Bogotá;Economía, administración, contaduría y afines;Pregrado
2008;1;ANTIOQUIA;5;MEDELLÍN;5001;-75,57705563;6,24894081;16,79;Hombres;5;No;;Regular;;No;;;Pregrado
2010;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;18,58;Mujeres;3;No;;Regular;389,88;No;;;Pregrado
2010;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,76;Hombres;1;No;;Regular;516,99;No;;;Pregrado
2020;1;CALDAS;17;MANIZALES;17001;-75,49041506;5,057050564;17;Hombres;5;No;;Regular;680,1447;Sí;Manizales;Ingeniería, arquitectura, urbanismo y afines;Pregrado
2016;1;ANTIOQUIA;5;MEDELLÍN;5001;-75,57705563;6,24894081;17,22;Hombres;4;No;;Regular;581,2436;No;;;Pregrado
2014;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;23,3;Mujeres;2;No;;Regular;510,6573;No;;;Pregrado
2013;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;24,01;Mujeres;3;No;;Regular;598,3567;No;;;Pregrado
2012;1;ANTIOQUIA;5;CAUCASIA;5154;-75,19851434;7,97776037;16,34;Mujeres;1;No;;Regular;389,3037;No;;;Pregrado
2018;2;CALDAS;17;MANIZALES;17001;-75,49041506;5,057050564;17;Hombres;1;No;;Regular;430,2843;No;;;Pregrado
2016;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16,6;Mujeres;2;No;;Regular;384,7947;No;;;Pregrado
2013;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;18,3;Hombres;3;No;;Regular;457,6986;No;;;Pregrado
2011;2;SANTANDER;68;BUCARAMANGA;68001;-73,13232523;7,122787285;26;Mujeres;4;No;;Regular;;No;;Ingeniería, arquitectura, urbanismo y afines;Doctorado
2008;2;VALLE DEL CAUCA;76;LA CUMBRE;76377;-76,56816646;3,647189293;20,99;Hombres;2;No;;Regular;;No;;;Pregrado
2017;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;18,28;Mujeres;3;No;;Regular;449,3382;No;;;Pregrado
2011;1;BOGOTÁ, D. C.;11;Bogotá D.C.;11001;-74,11391872;4,62457505;16,55;Hombres;3;No;;Regular;611,9244;No;;;Pregrado
2013;1;NARIÑO;52;TÚQUERRES;52838;-77,61785363;1,086639011;25;Hombres;3;No;;Regular;4,14;Sí;Bogotá;Ciencias sociales y humanas;Especialización
2015;2;NARIÑO;52;PASTO;52001;-77,27826745;1,212808597;17,26;Mujeres;2;No;;Regular;511,2832;No;;;Pregrado
2018;2;NORTE DE SANTANDER;54;CÚCUTA;54001;-72,50559097;7,905267117;17;Mujeres;4;No;;Regular;610,2536;No;;;Pregrado
2008;2;CUNDINAMARCA;25;CHOACHÍ;25181;-73,92296719;4,529015857;24;Hombres;2;No;;Regular;443,48;No;;;Pregrado
2021;1;LA GUAJIRA;44;URIBIA;44847;-72,26574628;11,71520214;18;Mujeres;2;No;;Especial;329,0868;No;;;Pregrado
2009;1;ANTIOQUIA;5;CHIGORODÓ;5172;-76,68156472;7,666156449;17,09;Mujeres;3;No;;Regular;458,83;No;;;Pregrado
2015;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,52;Mujeres;4;No;;Regular;525,1584;No;;;Pregrado
2008;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16,64;Mujeres;3;No;;Regular;584,65;No;;;Pregrado
2017;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16,63;Mujeres;3;No;;Regular;502,8672;No;;;Pregrado
2018;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,05;Mujeres;3;No;;Regular;521,3117;No;;;Pregrado
2013;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;20,24;Hombres;2;No;;Regular;487,32;No;;;Pregrado
2012;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;23,17;Mujeres;1;No;;Regular;322,2221;No;;;Pregrado
2008;1;HUILA;41;NEIVA;41001;-75,27794587;2,935545593;17;Mujeres;2;No;;Regular;;No;;;Pregrado
2021;1;VALLE DEL CAUCA;76;CALI;76001;-76,5263912;3,406382184;17;Hombres;3;No;;Regular;546,4916;No;;;Pregrado
2014;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16,54;Mujeres;3;No;;Regular;524,5537;No;;;Pregrado
2016;1;ANTIOQUIA;5;BELLO;5088;-75,55444758;6,333785562;17,53;Hombres;3;No;;Regular;583,3633;No;;;Pregrado
2018;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,18;Hombres;3;No;;Regular;457,9012;No;;;Pregrado
2015;1;ANTIOQUIA;5;MEDELLÍN;5001;-75,57705563;6,24894081;18,04;Mujeres;3;No;;Regular;566,6057;No;;;Pregrado
2008;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,64;Hombres;1;No;;Regular;;No;;;Pregrado
2015;1;NARIÑO;52;LINARES;52411;-77,52362692;1,35127831;22,64;Hombres;1;No;;Regular;375,4839;No;;;Pregrado
2012;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16,83;Hombres;3;No;;Regular;;No;;;Pregrado
2020;2;CESAR;20;BECERRIL;20045;-73,27810734;9,704133671;25;Mujeres;1;No;;Especial;;No;;;Pregrado
2017;1;TOLIMA;73;CAJAMARCA;73124;-75,43379586;4,437770273;17,28;Mujeres;1;No;;Regular;358,6412;No;;;Pregrado
2018;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,04;Hombres;3;No;;Regular;634,044;No;;;Pregrado
2013;1;BOYACÁ;15;CHIQUINQUIRÁ;15176;-73,81871071;5,614851057;17,2;Hombres;2;No;;Regular;405,94;No;;;Pregrado
2018;2;SANTANDER;68;BUCARAMANGA;68001;-73,13232523;7,122787285;17;Hombres;2;No;;Regular;602,5731;No;;;Pregrado
2015;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16,87;Hombres;2;No;;Regular;369,0254;No;;;Pregrado
2011;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,81;Mujeres;2;No;;Regular;532,3717;No;;;Pregrado
2010;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;18,03;Mujeres;2;No;;Regular;471,11;No;;;Pregrado
2009;2;VALLE DEL CAUCA;76;CALI;76001;-76,5263912;3,406382184;19,58;Mujeres;2;No;;Regular;662,18;Sí;Bogotá;Matemáticas y ciencias naturales;Pregrado
2011;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;19,63;Hombres;2;No;;Regular;651,7281;Sí;Bogotá;Matemáticas y ciencias naturales;Pregrado
2018;1;ANTIOQUIA;5;MEDELLÍN;5001;-75,57705563;6,24894081;17,68;Mujeres;3;No;;Regular;554,6963;No;;;Pregrado
2010;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;23,24;Mujeres;3;No;;Regular;498,9751;No;;;Pregrado
2014;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,75;Mujeres;3;No;;Regular;375,8037;No;;;Pregrado
2013;1;CUNDINAMARCA;25;CHÍA;25175;-74,04964819;4,865802072;23,81;Hombres;2;No;;Regular;593,55;No;;;Pregrado
2013;1;ANTIOQUIA;5;MEDELLÍN;5001;-75,57705563;6,24894081;16,98;Mujeres;2;No;;Regular;460,84;No;;;Pregrado
2018;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,52;Hombres;3;No;;Regular;592,6961;No;;;Pregrado
2011;2;NARIÑO;52;SANDONÁ;52683;-77,47731382;1,281287581;17,85;Hombres;3;No;;Regular;563,9379;No;;;Pregrado
2019;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;91263;-74,11391872;4,62457505;16;Hombres;1;No;;Regular;535,5822;No;;;Pregrado
2017;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,2;Mujeres;2;No;;Regular;603,65;No;;;Pregrado
2020;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;22;Mujeres;2;No;;Regular;317,0583;No;;;Pregrado
2011;2;NORTE DE SANTANDER;54;CÚCUTA;54001;-72,50559097;7,905267117;28;Hombres;4;No;;Regular;3,53;Sí;Bogotá;Ciencias sociales y humanas;Maestría
2012;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;20,51;Hombres;3;No;;Regular;491,6497;No;;;Pregrado
2012;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,19;Mujeres;2;No;;Regular;585,7534;No;;;Pregrado
2020;2;NARIÑO;52;PASTO;52001;-77,27826745;1,212808597;19;Mujeres;2;No;;Especial;310,7692;No;;;Pregrado
2016;1;BOYACÁ;15;SOGAMOSO;15759;-72,9232369;5,724862053;17,57;Hombres;2;No;;Regular;546,8521;No;;;Pregrado
2012;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;21,4;Mujeres;2;No;;Regular;400,7987;No;;;Pregrado
2016;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;18,82;Mujeres;2;No;;Regular;508,8721;No;;;Pregrado
2018;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17;Mujeres;2;No;;Regular;367,2518;No;;;Pregrado
2021;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17;Hombres;1;No;;Regular;538,7969;No;;;Pregrado
2017;2;BOYACÁ;15;SOGAMOSO;15759;-72,9232369;5,724862053;16,61;Mujeres;4;No;;Regular;648,03;Sí;Bogotá;Economía, administración, contaduría y afines;Pregrado
2021;1;ANTIOQUIA;5;BELLO;5088;-75,55444758;6,333785562;17;Mujeres;2;No;;Regular;464,3457;No;;;Pregrado
2012;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;28;Mujeres;2;No;;Regular;3,34;Sí;Bogotá;Ciencias de la salud;Especialización
2020;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;36;Hombres;4;No;;Regular;4,18;Sí;Bogotá;Agronomía, veterinaria y afines;Doctorado
2015;1;NORTE DE SANTANDER;54;TEORAMA;54800;-73,28698543;8,437233734;17,43;Mujeres;2;No;;Regular;454,2808;No;;;Pregrado
2016;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,98;Mujeres;2;No;;Regular;581,2424;No;;;Pregrado
2019;1;META;50;VILLAVICENCIO;50001;-73,6268779;4,12295758;16;Mujeres;1;No;;Especial;315,7054;No;;;Pregrado
2020;2;CALDAS;17;MANIZALES;17001;-75,49041506;5,057050564;26;Mujeres;3;No;;Regular;365,0379;No;;;Pregrado
2019;1;ANTIOQUIA;5;BARBOSA;5079;-75,33381905;6,437988662;18;Hombres;2;No;;Regular;503,6557;No;;;Pregrado
2015;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;27,38;Hombres;3;No;;Regular;606,3242;No;;;Pregrado
2018;2;VALLE DEL CAUCA;76;CALI;76001;-76,5263912;3,406382184;22;Hombres;2;No;;Regular;434,7718;No;;;Pregrado
2012;1;CALDAS;17;SUPÍA;17777;-75,64946621;5,446099934;17,64;Hombres;2;No;;Regular;497,0135;No;;;Pregrado
2018;2;CUNDINAMARCA;25;GIRARDOT;25307;-74,81046294;4,303705489;16;Hombres;3;No;;Regular;392,5244;No;;;Pregrado
2008;2;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;17,03;Mujeres;2;No;;Especial;;No;;;Pregrado
2015;1;LA GUAJIRA;44;RIOHACHA;44001;-72,91227125;11,52912543;18,36;Hombres;2;No;;Regular;541,7966;No;;;Pregrado
2019;1;ANTIOQUIA;5;VENECIA;5861;-75,7345341;5,963085926;31;Mujeres;3;No;;Regular;;No;;Economía, administración, contaduría y afines;Especialización
2010;2;HUILA;41;ACEVEDO;41006;-75,8919936;1,804327426;17,22;Mujeres;2;No;;Regular;578,2432;No;;;Pregrado
2017;1;BOGOTÁ, D. C.;11;BOGOTÁ, D.C.;11001;-74,11391872;4,62457505;16,41;Hombres;3;No;;Regular;398,6786;No;;;Pregrado
